"Rank","Root Domain","Linking Root Domains","Domain Authority"
"181","orange.fr","167,066","93"
"182","ovh.co.uk","558,392","93"
"183","elmundo.es","191,839","93"
"184","finance.yahoo.com","371,286","93"
"185","hm.com","154,083","93"
"186","gnu.org","563,451","93"
"187","t.co","1,700,759","93"
"188","mit.edu","568,833","93"
"189","vice.com","305,869","93"
"190","rapidshare.com","280,158","93"
"191","enable-javascript.com","1,248,972","93"
"192","sciencedirect.com","422,992","93"
"193","sapo.pt","205,121","93"
"194","lemonde.fr","224,088","93"
"195","engadget.com","398,039","93"
"196","windowsphone.com","121,125","93"
"197","cbsnews.com","427,524","93"
"198","google.co.in","239,354","93"
"199","bp2.blogger.com","521,575","93"
"200","noaa.gov","283,709","93"
"201","imageshack.us","781,717","93"
"202","mozilla.com","197,725","93"
"203","nypost.com","289,783","93"
"204","weibo.com","1,486,650","93"
"205","mashable.com","344,172","93"
"206","ibm.com","438,039","93"
"207","gizmodo.com","339,603","93"
"208","quora.com","306,648","93"
"209","spiegel.de","264,141","93"
"210","addtoany.com","713,959","93"
"211","pexels.com","144,864","93"
"212","dw.com","221,008","93"
"213","smh.com.au","262,137","93"
"214","yandex.ru","914,454","93"
"215","pixabay.com","299,289","93"
"216","newsweek.com","245,201","93"
"217","ovh.net","704,572","93"
"218","ggpht.com","572,723","93"
"219","economist.com","304,151","93"
"220","privacyshield.gov","417,151","93"
"221","nationalgeographic.com","531,814","93"
"222","washington.edu","308,058","93"
"223","umich.edu","292,673","93"
"224","netvibes.com","1,153,496","93"
"225","adssettings.google.com","297,629","93"
"226","bloglovin.com","444,940","93"
"227","latimes.com","576,632","93"
"228","urbandictionary.com","205,884","93"
"229","my.yahoo.com","1,137,029","93"
"230","target.com","226,690","93"
"231","google.nl","216,686","93"
"232","columbia.edu","275,081","93"
"233","instructables.com","273,742","93"
"234","e-recht24.de","442,824","93"
"235","amazon.fr","218,958","93"
"236","kickstarter.com","404,559","93"
"237","npr.org","599,275","93"
"238","berkeley.edu","389,613","93"
"239","sfgate.com","317,194","93"
"240","nokia.com","158,135","93"
"241","groups.google.com","299,464","93"
"242","www.wikipedia.org","521,806","93"
"243","ovh.com","421,846","93"
"244","www.weebly.com","340,344","93"
"245","yahoo.co.jp","619,138","93"
"246","000webhost.com","274,037","93"
"247","britannica.com","270,170","93"
"248","buzzfeed.com","446,188","93"
"249","nhk.or.jp","205,385","93"
"250","techcrunch.com","391,499","93"
"251","secureserver.net","945,945","93"
"252","search.yahoo.com","422,527","93"
"253","hp.com","388,660","93"
"254","afternic.com","1,438,991","93"
"255","yelp.com","818,778","93"
"256","playstation.com","181,891","93"
"257","ietf.org","347,744","93"
"258","amazon.es","146,895","93"
"259","oup.com","313,768","93"
"260","stackoverflow.com","285,270","93"
"261","wp.com","918,666","93"
"262","depositfiles.com","139,206","93"
"263","m.wikipedia.org","228,663","93"
"264","bandcamp.com","510,213","93"
"265","akamaihd.net","412,296","93"
"266","channel4.com","143,079","93"
"267","ted.com","479,889","93"
"268","list-manage.com","661,700","93"
"269","google.com.tw","124,990","93"
"270","walmart.com","268,394","93"
"271","naver.jp","129,142","93"
"272","ign.com","232,131","93"
"273","abc.net.au","324,076","93"
"274","mirror.co.uk","257,312","93"
"275","hollywoodreporter.com","215,116","93"
"276","biglobe.ne.jp","223,133","93"
"277","trustpilot.com","329,528","93"
"278","whitehouse.gov","314,809","93"
"279","thetimes.co.uk","298,439","93"
"280","forms.gle","352,667","93"
"281","over-blog-kiwi.com","178,721","93"
"282","researchgate.net","323,070","93"
"283","instagram.com","20,969,045","93"
"284","apache.org","883,412","93"
"285","gmail.com","181,405","93"
"286","nydailynews.com","301,629","93"
"287","ox.ac.uk","219,988","93"
"288","news.com.au","255,493","93"
"289","disqus.com","919,574","93"
"290","loc.gov","369,102","93"
"291","php.net","625,129","93"
"292","vox.com","379,066","93"
"293","goo.ne.jp","297,084","93"
"294","storage.googleapis.com","489,914","93"
"295","netflix.com","245,447","93"
"296","princeton.edu","279,822","93"
"297","detik.com","350,295","93"
"298","imageshack.com","434,633","93"
"299","picasa.google.com","247,738","93"
"300","usnews.com","324,353","93"
"301","nvidia.com","145,764","93"
"302","mega.nz","152,035","93"
"303","psychologytoday.com","273,738","93"
"304","arxiv.org","179,196","93"
"305","deezer.com","126,615","93"
"306","pl.wikipedia.org","128,566","93"
"307","shutterstock.com","251,501","93"
